low_end,low_end_raw,low_end_sign,low_end_biased_exp,low_end_mantissa,low_end_24bit,low_end_24bit_hex,low_end_plus_1,low_end_plus_1_raw,low_end_plus_1_sign,low_end_plus_1_biased_exp,low_end_plus_1_mantissa,low_end_plus_1_24bit,low_end_plus_1_24bit_hex,high_end_minus_1,high_end_minus_1_raw,high_end_minus_1_sign,high_end_minus_1_biased_exp,high_end_minus_1_mantissa,high_end_minus_1_24bit,high_end_minus_1_24bit_hex,high_end,high_end_raw,high_end_sign,high_end_biased_exp,high_end_mantissa,high_end_24bit,high_end_24bit_hex
6.162975822e-33,0x0a000000,0,20,0,0,0x000000,6.162976557e-33,0x0a000001,0,20,1,0,0x000000,1.232595017e-32,0x0a7ffffe,0,20,8388606,0,0x000000,1.232595091e-32,0x0a7fffff,0,20,8388607,0,0x000000
1.232595164e-32,0x0a800000,0,21,0,0,0x000000,1.232595311e-32,0x0a800001,0,21,1,0,0x000000,2.465190035e-32,0x0afffffe,0,21,8388606,0,0x000000,2.465190182e-32,0x0affffff,0,21,8388607,0,0x000000
2.465190329e-32,0x0b000000,0,22,0,0,0x000000,2.465190623e-32,0x0b000001,0,22,1,0,0x000000,4.930380070e-32,0x0b7ffffe,0,22,8388606,0,0x000000,4.930380364e-32,0x0b7fffff,0,22,8388607,0,0x000000
4.930380658e-32,0x0b800000,0,23,0,0,0x000000,4.930381245e-32,0x0b800001,0,23,1,0,0x000000,9.860760140e-32,0x0bfffffe,0,23,8388606,0,0x000000,9.860760728e-32,0x0bffffff,0,23,8388607,0,0x000000
9.860761315e-32,0x0c000000,0,24,0,0,0x000000,9.860762491e-32,0x0c000001,0,24,1,0,0x000000,1.972152028e-31,0x0c7ffffe,0,24,8388606,0,0x000000,1.972152146e-31,0x0c7fffff,0,24,8388607,0,0x000000
1.972152263e-31,0x0c800000,0,25,0,0,0x000000,1.972152498e-31,0x0c800001,0,25,1,0,0x000000,3.944304056e-31,0x0cfffffe,0,25,8388606,0,0x000000,3.944304291e-31,0x0cffffff,0,25,8388607,0,0x000000
3.944304526e-31,0x0d000000,0,26,0,0,0x000000,3.944304996e-31,0x0d000001,0,26,1,0,0x000000,7.888608112e-31,0x0d7ffffe,0,26,8388606,0,0x000000,7.888608582e-31,0x0d7fffff,0,26,8388607,0,0x000000
7.888609052e-31,0x0d800000,0,27,0,0,0x000000,7.888609993e-31,0x0d800001,0,27,1,0,0x000000,1.577721622e-30,0x0dfffffe,0,27,8388606,0,0x000000,1.577721716e-30,0x0dffffff,0,27,8388607,0,0x000000
1.577721810e-30,0x0e000000,0,28,0,0,0x000000,1.577721999e-30,0x0e000001,0,28,1,0,0x000000,3.155443245e-30,0x0e7ffffe,0,28,8388606,0,0x000000,3.155443433e-30,0x0e7fffff,0,28,8388607,0,0x000000
3.155443621e-30,0x0e800000,0,29,0,0,0x000000,3.155443997e-30,0x0e800001,0,29,1,0,0x000000,6.310886489e-30,0x0efffffe,0,29,8388606,0,0x000000,6.310886866e-30,0x0effffff,0,29,8388607,0,0x000000
6.310887242e-30,0x0f000000,0,30,0,0,0x000000,6.310887994e-30,0x0f000001,0,30,1,0,0x000000,1.262177298e-29,0x0f7ffffe,0,30,8388606,0,0x000000,1.262177373e-29,0x0f7fffff,0,30,8388607,0,0x000000
1.262177448e-29,0x0f800000,0,31,0,0,0x000000,1.262177599e-29,0x0f800001,0,31,1,0,0x000000,2.524354596e-29,0x0ffffffe,0,31,8388606,0,0x000000,2.524354746e-29,0x0fffffff,0,31,8388607,0,0x000000
2.524354897e-29,0x10000000,0,32,0,0,0x000000,2.524355198e-29,0x10000001,0,32,1,0,0x000000,5.048709192e-29,0x107ffffe,0,32,8388606,0,0x000000,5.048709492e-29,0x107fffff,0,32,8388607,0,0x000000
5.048709793e-29,0x10800000,0,33,0,0,0x000000,5.048710395e-29,0x10800001,0,33,1,0,0x000000,1.009741838e-28,0x10fffffe,0,33,8388606,0,0x000000,1.009741898e-28,0x10ffffff,0,33,8388607,0,0x000000
1.009741959e-28,0x11000000,0,34,0,0,0x000000,1.009742079e-28,0x11000001,0,34,1,0,0x000000,2.019483677e-28,0x117ffffe,0,34,8388606,0,0x000000,2.019483797e-28,0x117fffff,0,34,8388607,0,0x000000
2.019483917e-28,0x11800000,0,35,0,0,0x000000,2.019484158e-28,0x11800001,0,35,1,0,0x000000,4.038967353e-28,0x11fffffe,0,35,8388606,0,0x000000,4.038967594e-28,0x11ffffff,0,35,8388607,0,0x000000
4.038967835e-28,0x12000000,0,36,0,0,0x000000,4.038968316e-28,0x12000001,0,36,1,0,0x000000,8.077934706e-28,0x127ffffe,0,36,8388606,0,0x000000,8.077935188e-28,0x127fffff,0,36,8388607,0,0x000000
8.077935669e-28,0x12800000,0,37,0,0,0x000000,8.077936632e-28,0x12800001,0,37,1,0,0x000000,1.615586941e-27,0x12fffffe,0,37,8388606,0,0x000000,1.615587038e-27,0x12ffffff,0,37,8388607,0,0x000000
1.615587134e-27,0x13000000,0,38,0,0,0x000000,1.615587326e-27,0x13000001,0,38,1,0,0x000000,3.231173883e-27,0x137ffffe,0,38,8388606,0,0x000000,3.231174075e-27,0x137fffff,0,38,8388607,0,0x000000
3.231174268e-27,0x13800000,0,39,0,0,0x000000,3.231174653e-27,0x13800001,0,39,1,0,0x000000,6.462347765e-27,0x13fffffe,0,39,8388606,0,0x000000,6.462348150e-27,0x13ffffff,0,39,8388607,0,0x000000
6.462348536e-27,0x14000000,0,40,0,0,0x000000,6.462349306e-27,0x14000001,0,40,1,0,0x000000,1.292469553e-26,0x147ffffe,0,40,8388606,0,0x000000,1.292469630e-26,0x147fffff,0,40,8388607,0,0x000000
1.292469707e-26,0x14800000,0,41,0,0,0x000000,1.292469861e-26,0x14800001,0,41,1,0,0x000000,2.584939106e-26,0x14fffffe,0,41,8388606,0,0x000000,2.584939260e-26,0x14ffffff,0,41,8388607,0,0x000000
2.584939414e-26,0x15000000,0,42,0,0,0x000000,2.584939722e-26,0x15000001,0,42,1,0,0x000000,5.169878212e-26,0x157ffffe,0,42,8388606,0,0x000000,5.169878520e-26,0x157fffff,0,42,8388607,0,0x000000
5.169878828e-26,0x15800000,0,43,0,0,0x000000,5.169879445e-26,0x15800001,0,43,1,0,0x000000,1.033975642e-25,0x15fffffe,0,43,8388606,0,0x000000,1.033975704e-25,0x15ffffff,0,43,8388607,0,0x000000
1.033975766e-25,0x16000000,0,44,0,0,0x000000,1.033975889e-25,0x16000001,0,44,1,0,0x000000,2.067951285e-25,0x167ffffe,0,44,8388606,0,0x000000,2.067951408e-25,0x167fffff,0,44,8388607,0,0x000000
2.067951531e-25,0x16800000,0,45,0,0,0x000000,2.067951778e-25,0x16800001,0,45,1,0,0x000000,4.135902570e-25,0x16fffffe,0,45,8388606,0,0x000000,4.135902816e-25,0x16ffffff,0,45,8388607,0,0x000000
4.135903063e-25,0x17000000,0,46,0,0,0x000000,4.135903556e-25,0x17000001,0,46,1,0,0x000000,8.271805139e-25,0x177ffffe,0,46,8388606,0,0x000000,8.271805632e-25,0x177fffff,0,46,8388607,0,0x000000
8.271806126e-25,0x17800000,0,47,0,0,0x000000,8.271807112e-25,0x17800001,0,47,1,0,0x000000,1.654361028e-24,0x17fffffe,0,47,8388606,0,0x000000,1.654361126e-24,0x17ffffff,0,47,8388607,0,0x000000
1.654361225e-24,0x18000000,0,48,0,0,0x000000,1.654361422e-24,0x18000001,0,48,1,0,0x000000,3.308722056e-24,0x187ffffe,0,48,8388606,0,0x000000,3.308722253e-24,0x187fffff,0,48,8388607,0,0x000000
3.308722450e-24,0x18800000,0,49,0,0,0x000000,3.308722845e-24,0x18800001,0,49,1,0,0x000000,6.617444112e-24,0x18fffffe,0,49,8388606,0,0x000000,6.617444506e-24,0x18ffffff,0,49,8388607,0,0x000000
6.617444900e-24,0x19000000,0,50,0,0,0x000000,6.617445689e-24,0x19000001,0,50,1,0,0x000000,1.323488822e-23,0x197ffffe,0,50,8388606,0,0x000000,1.323488901e-23,0x197fffff,0,50,8388607,0,0x000000
1.323488980e-23,0x19800000,0,51,0,0,0x000000,1.323489138e-23,0x19800001,0,51,1,0,0x000000,2.646977645e-23,0x19fffffe,0,51,8388606,0,0x000000,2.646977802e-23,0x19ffffff,0,51,8388607,0,0x000000
2.646977960e-23,0x1a000000,0,52,0,0,0x000000,2.646978276e-23,0x1a000001,0,52,1,0,0x000000,5.293955289e-23,0x1a7ffffe,0,52,8388606,0,0x000000,5.293955605e-23,0x1a7fffff,0,52,8388607,0,0x000000
5.293955920e-23,0x1a800000,0,53,0,0,0x000000,5.293956551e-23,0x1a800001,0,53,1,0,0x000000,1.058791058e-22,0x1afffffe,0,53,8388606,0,0x000000,1.058791121e-22,0x1affffff,0,53,8388607,0,0x000000
1.058791184e-22,0x1b000000,0,54,0,0,0x000000,1.058791310e-22,0x1b000001,0,54,1,0,0x000000,2.117582116e-22,0x1b7ffffe,0,54,8388606,0,0x000000,2.117582242e-22,0x1b7fffff,0,54,8388607,0,0x000000
2.117582368e-22,0x1b800000,0,55,0,0,0x000000,2.117582621e-22,0x1b800001,0,55,1,0,0x000000,4.235164231e-22,0x1bfffffe,0,55,8388606,0,0x000000,4.235164484e-22,0x1bffffff,0,55,8388607,0,0x000000
4.235164736e-22,0x1c000000,0,56,0,0,0x000000,4.235165241e-22,0x1c000001,0,56,1,0,0x000000,8.470328463e-22,0x1c7ffffe,0,56,8388606,0,0x000000,8.470328968e-22,0x1c7fffff,0,56,8388607,0,0x000000
8.470329473e-22,0x1c800000,0,57,0,0,0x000000,8.470330482e-22,0x1c800001,0,57,1,0,0x000000,1.694065693e-21,0x1cfffffe,0,57,8388606,0,0x000000,1.694065794e-21,0x1cffffff,0,57,8388607,0,0x000000
1.694065895e-21,0x1d000000,0,58,0,0,0x000000,1.694066096e-21,0x1d000001,0,58,1,0,0x000000,3.388131385e-21,0x1d7ffffe,0,58,8388606,0,0x000000,3.388131587e-21,0x1d7fffff,0,58,8388607,0,0x000000
3.388131789e-21,0x1d800000,0,59,0,0,0x000000,3.388132193e-21,0x1d800001,0,59,1,0,0x000000,6.776262770e-21,0x1dfffffe,0,59,8388606,0,0x000000,6.776263174e-21,0x1dffffff,0,59,8388607,0,0x000000
6.776263578e-21,0x1e000000,0,60,0,0,0x000000,6.776264386e-21,0x1e000001,0,60,1,0,0x000000,1.355252554e-20,0x1e7ffffe,0,60,8388606,0,0x000000,1.355252635e-20,0x1e7fffff,0,60,8388607,0,0x000000
